domain,prompt_id,context_position,top_k,temperature_ratio,seed,moment4_tail_tv,moment4_partition_abs_error,moment4_certificate_bound,moment4_certificate_relative_to_true_partition,moment4_bound_to_error_ratio,uniform_tail_tv,moment4_certified,sample6_tail_tv,cache_budget_bytes
ordinary,0,1,8,0.9,20260924,0.000774930406573,0.000696327321387,0.0383926220238,1.82789111137,55.1358833313,0.0125109900485,1,0.0239232102504,24
ordinary,0,1,8,0.9,20260925,0.000774930406573,0.000696327321387,0.0383926220238,1.82789111137,55.1358833313,0.0125109900485,1,0.0238306297153,24
ordinary,0,1,8,0.9,20260926,0.000774930406573,0.000696327321387,0.0383926220238,1.82789111137,55.1358833313,0.0125109900485,1,0.0239594533152,24
ordinary,0,1,8,1.1,20260924,0.000311023087151,0.000399835278832,0.00707506155595,0.0608636066318,17.694940567,0.0612348337284,1,0.0986148097641,24
ordinary,0,1,8,1.1,20260925,0.000311023087151,0.000399835278832,0.00707506155595,0.0608636066318,17.694940567,0.0612348337284,1,0.0963562898232,24
ordinary,0,1,8,1.1,20260926,0.000311023087151,0.000399835278832,0.00707506155595,0.0608636066318,17.694940567,0.0612348337284,1,0.100093288963,24
ordinary,0,1,32,0.9,20260924,0.000735275661568,0.000650209425056,0.0361027680337,4.97532272339,55.5248298645,0.00355011967158,1,0.00821295269547,24
ordinary,0,1,32,0.9,20260925,0.000735275661568,0.000650209425056,0.0361027680337,4.97532272339,55.5248298645,0.00355011967158,1,0.00540081308607,24
ordinary,0,1,32,0.9,20260926,0.000735275661568,0.000650209425056,0.0361027680337,4.97532272339,55.5248298645,0.00355011967158,1,0.00820239826843,24
ordinary,0,1,32,1.1,20260924,0.000308966388327,0.000378568707739,0.00665307417512,0.102294437587,17.5742835999,0.0262054606104,1,0.0540160084302,24
ordinary,0,1,32,1.1,20260925,0.000308966388327,0.000378568707739,0.00665307417512,0.102294437587,17.5742835999,0.0262054606104,1,0.0140359166763,24
ordinary,0,1,32,1.1,20260926,0.000308966388327,0.000378568707739,0.00665307417512,0.102294437587,17.5742835999,0.0262054606104,1,0.0537162505914,24
ordinary,0,5,8,0.9,20260924,0.00234025539941,0.00220800695571,0.0945442989469,0.487583100796,42.8188400269,0.118653020225,1,0.290543350222,24
ordinary,0,5,8,0.9,20260925,0.00234025539941,0.00220800695571,0.0945442989469,0.487583100796,42.8188400269,0.118653020225,1,0.290412060941,24
ordinary,0,5,8,0.9,20260926,0.00234025539941,0.00220800695571,0.0945442989469,0.487583100796,42.8188400269,0.118653020225,1,0.267545966715,24
ordinary,0,5,8,1.1,20260924,0.000378620478597,0.00119481663915,0.0181491728872,0.0230412259698,15.1899223328,0.123048824783,1,0.519619827764,24
ordinary,0,5,8,1.1,20260925,0.000378620478597,0.00119481663915,0.0181491728872,0.0230412259698,15.1899223328,0.123048824783,1,0.517175668132,24
ordinary,0,5,8,1.1,20260926,0.000378620478597,0.00119481663915,0.0181491728872,0.0230412259698,15.1899223328,0.123048824783,1,0.334835207403,24
ordinary,0,5,32,0.9,20260924,0.00268109358251,0.00214382450555,0.0920723974705,0.846036314964,42.9477310181,0.0667933888287,1,0.160902141985,24
ordinary,0,5,32,0.9,20260925,0.00268109358251,0.00214382450555,0.0920723974705,0.846036314964,42.9477310181,0.0667933888287,1,0.146504106952,24
ordinary,0,5,32,0.9,20260926,0.00268109358251,0.00214382450555,0.0920723974705,0.846036314964,42.9477310181,0.0667933888287,1,0.595583181028,24
ordinary,0,5,32,1.1,20260924,0.000491182627071,0.00116687323087,0.017674613744,0.0319611690938,15.1469869614,0.110141551342,1,0.33982925113,24
ordinary,0,5,32,1.1,20260925,0.000491182627071,0.00116687323087,0.017674613744,0.0319611690938,15.1469869614,0.110141551342,1,0.233079062609,24
ordinary,0,5,32,1.1,20260926,0.000491182627071,0.00116687323087,0.017674613744,0.0319611690938,15.1469869614,0.110141551342,1,0.545443458376,24
ordinary,0,9,8,0.9,20260924,0.00114685446411,0.00108281359232,0.0597095452249,0.343523979187,55.1429595947,0.120014959362,1,0.243809346443,24
